14100 D loss: 0.024221, acc.: 100.00%, G loss: 0.061877, time: 0:36:44.073292
14150 D loss: 0.023331, acc.: 100.00%, G loss: 0.011445, time: 0:36:50.653004
14200 D loss: 0.165744, acc.: 96.88%, G loss: 0.112523, time: 0:36:57.292112
14250 D loss: 0.113259, acc.: 96.88%, G loss: 0.180596, time: 0:37:03.980860
14300 D loss: 0.051960, acc.: 100.00%, G loss: 0.137275, time: 0:37:10.775841
14350 D loss: 0.100828, acc.: 96.88%, G loss: 0.154948, time: 0:37:17.504240
14400 D loss: 0.085723, acc.: 98.44%, G loss: 0.131475, time: 0:37:24.114922
14450 D loss: 0.036615, acc.: 98.44%, G loss: 0.134241, time: 0:37:30.904226
14500 D loss: 0.054078, acc.: 98.44%, G loss: 0.056484, time: 0:37:37.588737
14550 D loss: 0.111086, acc.: 96.88%, G loss: 0.138434, time: 0:37:44.226998
14600 D loss: 0.050557, acc.: 98.44%, G loss: 0.052952, time: 0:37:50.895169
14650 D loss: 0.070610, acc.: 98.44%, G loss: 0.114829, time: 0:37:57.619322
14700 D loss: 0.055958, acc.: 100.00%, G loss: 0.215832, time: 0:38:04.259126
14750 D loss: 0.061997, acc.: 98.44%, G loss: 0.113113, time: 0:38:10.887806
14800 D loss: 0.037102, acc.: 100.00%, G loss: 0.098271, time: 0:38:17.656774
14850 D loss: 0.029150, acc.: 100.00%, G loss: 0.070776, time: 0:38:24.247502
14900 D loss: 0.050673, acc.: 98.44%, G loss: 0.097930, time: 0:38:30.827528
14950 D loss: 0.014734, acc.: 100.00%, G loss: 0.038972, time: 0:38:37.352582
15000 D loss: 0.074850, acc.: 100.00%, G loss: 0.152691, time: 0:38:43.846904
15050 D loss: 0.057164, acc.: 96.88%, G loss: 0.114884, time: 0:38:50.690634
15100 D loss: 0.268032, acc.: 90.62%, G loss: 0.170032, time: 0:38:57.483998
15150 D loss: 0.069931, acc.: 98.44%, G loss: 0.168506, time: 0:39:04.253864
15200 D loss: 0.097869, acc.: 98.44%, G loss: 0.104025, time: 0:39:10.865709
